Query,SearchTerm,Kingdom,Phylum,Class,Order,Family,Genus,Species,EOL,NCBI,Wikipedia,IUCN,GBIF,ITIS,
GRAND CAIMAN IGUANA,Grand caiman iguana,Animalia,Chordata,Reptilia,Squamata,Iguanidae,(cites).,(cites). (cites).,,,NA,http://www.iucnredlist.org/details/44275/0,NA,,
COCKATOO ROUGE FISH,Cockatoo rouge fish,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Scorpaenidae,Ablabys,Ablabys taenianotus,,,https://en.wikipedia.org/wiki/Ablabys_taenianotus,NA,NA,,
HIGH-BACKED HEADSTANDER,High-backed headstander,Animalia,Chordata,Actinopterygii,Characiformes,Anostomidae,Abramites,Abramites hypselonotus,http://eol.org/api/hierarchy_entries/1.0.xml?id=52626800,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=1396860$retmode=xml,https://en.wikipedia.org/wiki/High-backed_headstander,NA,NA,,
GUATEMALAN ARBOREAL LIZARD,Guatemalan arboreal lizard,Animalia,Chordata,Reptilia,Squamata,Anguidae,Abronia,Abronia anzuetoi,,,https://en.wikipedia.org/wiki/Anzuetoi_arboreal_alligator_lizard,NA,NA,,
GUATEMALAN ALLIGATOR LIZARD,Guatemalan alligator lizard,Animalia,Chordata,Reptilia,Squamata,Anguidae,Abronia,Abronia anzuetoi,,,https://en.wikipedia.org/wiki/Anzuetoi_arboreal_alligator_lizard,NA,NA,,
MEXICAN ALLIGATOR LIZARD,Mexican alligator lizard,Animalia,Chordata,Reptilia,Squamata,Anguidae,Abronia,Abronia graminea,,,NA,http://www.iucnredlist.org/details/63678/0,NA,,
WHITE ALLIGATOR,White alligator,Animalia,Chordata,Reptilia,Squamata,Anguidae,Abronia,Abronia leurolepis,http://eol.org/api/hierarchy_entries/1.0.xml?id=52580882,NA,NA,NA,NA,,
RED-LIPPED ABROREAL ALLIGATOR LIZARD ,Red-lipped abroreal alligator lizard,Animalia,Chordata,Reptilia,Squamata,Anguidae,Abronia,Abronia lythrochila,,,NA,http://www.iucnredlist.org/details/63680/0,NA,,
ARBOREAL ALLIGATOR LIZARD,Arboreal alligator lizard,Animalia,Chordata,Reptilia,Squamata,Anguidae,Abronia,Abronia taeniata,http://eol.org/api/hierarchy_entries/1.0.xml?id=52580896,NA,NA,NA,NA,,
ARBOREAL ALLIGATOR LIZARD ,Arboreal alligator lizard,Animalia,Chordata,Reptilia,Squamata,Anguidae,Abronia,Abronia taeniata,http://eol.org/api/hierarchy_entries/1.0.xml?id=52580896,NA,NA,NA,NA,,
Abronia graminea,Abronia graminea,Animalia,Chordata,Reptilia,Squamata,Anguidae,Abronia,Abronia graminea,http://eol.org/api/hierarchy_entries/1.0.xml?id=52580881,NA,https://en.wikipedia.org/wiki/Abronia_graminea,NA,NA,,
FISH,Fish,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Abudefduf,Abudefduf bengalensis,http://eol.org/api/hierarchy_entries/1.0.xml?id=52595632,NA,NA,NA,NA,,
FISH ,Fish,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Abudefduf,Abudefduf bengalensis,http://eol.org/api/hierarchy_entries/1.0.xml?id=52595632,NA,NA,NA,NA,,
DAMSELFISH,Damselfish,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Abudefduf,Abudefduf bengalensis,http://eol.org/api/hierarchy_entries/1.0.xml?id=52595632,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=91607$retmode=xml,NA,NA,NA,,
DAMSEL FISH,Damsel fish,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Abudefduf,Abudefduf bengalensis,http://eol.org/api/hierarchy_entries/1.0.xml?id=52595632,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=91607$retmode=xml,NA,NA,NA,,
FISH (PRESUMED CICHLID),Fish ,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Abudefduf,Abudefduf bengalensis,http://eol.org/api/hierarchy_entries/1.0.xml?id=52595632,NA,NA,NA,NA,,
FISH (OTOCINCLAS ARNALDI) ,Fish ,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Abudefduf,Abudefduf bengalensis,http://eol.org/api/hierarchy_entries/1.0.xml?id=52595632,NA,NA,NA,NA,,
FISH (CARDINAL TETRA),Fish ,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Abudefduf,Abudefduf bengalensis,http://eol.org/api/hierarchy_entries/1.0.xml?id=52595632,NA,NA,NA,NA,,
FISH (A. PICEATUS),Fish ,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Abudefduf,Abudefduf bengalensis,http://eol.org/api/hierarchy_entries/1.0.xml?id=52595632,NA,NA,NA,NA,,
FISH (CARDINAL TETRA OR PENCIL FISH),Fish ,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Abudefduf,Abudefduf bengalensis,http://eol.org/api/hierarchy_entries/1.0.xml?id=52595632,NA,NA,NA,NA,,
FISH (PENCIL FISH),Fish ,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Abudefduf,Abudefduf bengalensis,http://eol.org/api/hierarchy_entries/1.0.xml?id=52595632,NA,NA,NA,NA,,
SARGENT MAJOR,Sargent major,Metazoa,Chordata,Actinopteri,Na,Pomacentridae,Abudefduf,Abudefduf saxatilis,NA,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=50731$retmode=xml,NA,NA,NA,,
SERGEANT MAJOR FISH,Sergeant major fish,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Abudefduf,Abudefduf saxatilis,,,https://en.wikipedia.org/wiki/Sergeant_major_(fish),NA,NA,,
SARGENT MAJOR FISH,Sargent major fish,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Abudefduf,Abudefduf saxatilis,,,https://en.wikipedia.org/wiki/Sergeant_major_(fish),NA,NA,,
SEBA'S  STRIPED FINGERFISH,Seba's striped fingerfish,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Abudefduf,Abudefduf saxatilis,,,NA,http://www.iucnredlist.org/details/188581/25,NA,,
SERGENT MAJOR FISH,Sergent major fish,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Abudefduf,Abudefduf saxatilis,,,https://en.wikipedia.org/wiki/Sergeant_major_(fish),NA,NA,,
SERGEANT MAJOR,Sergeant major,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Abudefduf,Abudefduf troschelii,http://eol.org/api/hierarchy_entries/1.0.xml?id=52595636,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=50731$retmode=xml,NA,NA,NA,,
PIPING GUAN,Piping guan,Animalia,Chordata,Aves,Craciformes,Cracidae,Aburria,Aburria cumanensis,http://eol.org/api/hierarchy_entries/1.0.xml?id=52644035,NA,NA,NA,NA,,
CORAL ACANTHASTREA,Coral acanthastrea,Animalia,Cnidaria,Anthozoa,Scleractinia,Mussidae,Acanthastrea,Acanthastrea bowerbanki,,,NA,http://www.iucnredlist.org/details/133411/0,NA,,
BARNACLE,Barnacle,Animalia,Chordata,Actinopterygii,Perciformes,Chaenopsidae,Acanthemblemaria,Acanthemblemaria castroi,http://eol.org/api/hierarchy_entries/1.0.xml?id=52603345,NA,NA,NA,NA,,
SIDENECK TURTLE,Sideneck turtle,Animalia,Chordata,Reptilia,Testudines,Chelidae,Acanthochelys,Acanthochelys pallidipectoris,http://eol.org/api/hierarchy_entries/1.0.xml?id=52579126,NA,NA,NA,NA,,
SIDE-NECKED TURTLE,Side-necked turtle,Animalia,Chordata,Reptilia,Testudines,Chelidae,Acanthochelys,Acanthochelys pallidipectoris,http://eol.org/api/hierarchy_entries/1.0.xml?id=52579126,NA,NA,NA,NA,,
KEEL BACK SIDE-NECKED TURTLE,Keel back side-necked turtle,Animalia,Chordata,Reptilia,Testudines,Chelidae,Acanthochelys,Acanthochelys pallidipectoris,,,NA,http://www.iucnredlist.org/details/75/0,NA,,
KEELBACK SIDENECKED TURTLE,Keelback sidenecked turtle,Animalia,Chordata,Reptilia,Testudines,Chelidae,Acanthochelys,Acanthochelys pallidipectoris,,,NA,http://www.iucnredlist.org/details/75/0,NA,,
BLACK SPINE NECKED SWAMP TURTLE,Black spine necked swamp turtle,Animalia,Chordata,Reptilia,Testudines,Chelidae,Acanthochelys,Acanthochelys spixii,http://eol.org/api/hierarchy_entries/1.0.xml?id=52579127,NA,NA,NA,NA,,
BLACK SPINE-NECKED SWAMP TURTLE,Black spine-necked swamp turtle,Animalia,Chordata,Reptilia,Testudines,Chelidae,Acanthochelys,Acanthochelys spixii,http://eol.org/api/hierarchy_entries/1.0.xml?id=52579127,NA,NA,NA,NA,,
CHITON,Chiton,Animalia,Mollusca,Polyplacophora,Chitonida,Acanthochitonidae,Acanthochitona,Acanthochitona pygmaea,http://eol.org/api/hierarchy_entries/1.0.xml?id=52567728,NA,NA,NA,NA,,
BOTIA,Botia,Animalia,Chordata,Actinopterygii,Cypriniformes,Nemacheilidae,Acanthocobitis,Acanthocobitis botia,http://eol.org/api/hierarchy_entries/1.0.xml?id=52619831,NA,NA,NA,NA,,
DEATH ADDER,Death adder,Animalia,Chordata,Reptilia,Squamata,Hydrophiidae,Acanthophis,Acanthophis antarcticus,http://eol.org/api/hierarchy_entries/1.0.xml?id=52591850,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=8605$retmode=xml,NA,NA,NA,,
TREE LIZARD,Tree lizard,Animalia,Chordata,Reptilia,Squamata,Agamidae,Acanthosaura,Acanthosaura lepidogaster,http://eol.org/api/hierarchy_entries/1.0.xml?id=52580198,NA,NA,NA,NA,,
CALOTES,Calotes,Animalia,Chordata,Reptilia,Squamata,Agamidae,Acanthosaura,Acanthosaura lepidogaster,http://eol.org/api/hierarchy_entries/1.0.xml?id=52580198,NA,NA,NA,NA,,
GONOCEPHALUS,Gonocephalus,Animalia,Chordata,Reptilia,Squamata,Agamidae,Acanthosaura,Acanthosaura lepidogaster,http://eol.org/api/hierarchy_entries/1.0.xml?id=52580198,NA,NA,NA,NA,,
BRAZILIAN BLACK TARANTULA,Brazilian black tarantula,Animalia,Arthropoda,Arachnida,Araneae,Theraphosidae,Acanthoscurria,Acanthoscurria brocklehursti,http://eol.org/api/hierarchy_entries/1.0.xml?id=51594930,NA,NA,NA,NA,,
COWFISH,Cowfish,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Ostraciidae,Acanthostracion,Acanthostracion notacanthus,http://eol.org/api/hierarchy_entries/1.0.xml?id=52605767,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=61620$retmode=xml,NA,NA,NA,,
HONEYCOMB COWFISH,Honeycomb cowfish,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Ostraciidae,Acanthostracion,Acanthostracion polygonius,NA,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=303729$retmode=xml,https://en.wikipedia.org/wiki/Honeycomb_cowfish,NA,NA,,
SCRAWLED COWFISH,Scrawled cowfish,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Ostraciidae,Acanthostracion,Acanthostracion quadricornis,http://eol.org/api/hierarchy_entries/1.0.xml?id=52605764,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=587042$retmode=xml,https://en.wikipedia.org/wiki/Scrawled_cowfish,NA,NA,,
ACHILLES TANG,Achilles tang,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus achilles,http://eol.org/api/hierarchy_entries/1.0.xml?id=52605197,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=753643$retmode=xml,https://en.wikipedia.org/wiki/Achilles_tang,NA,NA,,
OCEAN SURGEON FISH,Ocean surgeon fish,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus bahianus,,,NA,http://www.iucnredlist.org/details/177985/0,NA,,
BLUE TANG SURGEONFISH,Blue tang surgeonfish,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus coeruleus,NA,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=157585$retmode=xml,https://en.wikipedia.org/wiki/Blue_tang_surgeonfish,NA,NA,,
ATLANTIC BLUE TANG,Atlantic blue tang,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus coeruleus,NA,NA,https://en.wikipedia.org/wiki/Atlantic_blue_tang,NA,NA,,
SURGEONFISH,Surgeonfish,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus guttatus,http://eol.org/api/hierarchy_entries/1.0.xml?id=52605198,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=927808$retmode=xml,NA,NA,NA,,
POWDER BROWN TANG,Powder brown tang,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus japonicus,NA,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=75046$retmode=xml,https://en.wikipedia.org/wiki/Powder_brown_tang,NA,NA,,
POWDER BLUE TANG,Powder blue tang,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus leucosternon,http://eol.org/api/hierarchy_entries/1.0.xml?id=52605193,NA,https://en.wikipedia.org/wiki/Powder_blue_tang,NA,NA,,
BLUE TANG,Blue tang,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus leucosternon,http://eol.org/api/hierarchy_entries/1.0.xml?id=52605193,NA,NA,NA,NA,,
LINEATUS TANG,Lineatus tang,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus lineatus,,,https://en.wikipedia.org/wiki/Acanthurus_lineatus,NA,NA,,
BARIENE TANG,Bariene tang,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus lineatus,,,https://en.wikipedia.org/wiki/Acanthurus_lineatus,NA,NA,,
CLOWN TANG FISH,Clown tang fish,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus lineatus,,,https://en.wikipedia.org/wiki/Acanthurus_lineatus,NA,NA,,
TENNENTS SURGEONFISH,Tennents surgeonfish,Metazoa,Chordata,Actinopteri,Acanthuriformes,Acanthuridae,Acanthurus,Acanthurus monroviae,NA,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=927808$retmode=xml,NA,NA,NA,,
BLUE SPINE SURGEONFISH,Blue spine surgeonfish,Metazoa,Chordata,Actinopteri,Acanthuriformes,Acanthuridae,Acanthurus,Acanthurus monroviae,NA,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=927808$retmode=xml,NA,NA,NA,,
POWDER BLUE SURGEON FISH,Powder blue surgeon fish,Metazoa,Chordata,Actinopteri,Acanthuriformes,Acanthuridae,Acanthurus,Acanthurus monroviae,NA,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=927808$retmode=xml,NA,NA,NA,,
DUSSINER SURGEONFISH,Dussiner surgeonfish,Metazoa,Chordata,Actinopteri,Acanthuriformes,Acanthuridae,Acanthurus,Acanthurus monroviae,NA,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=927808$retmode=xml,NA,NA,NA,,
UNICORN SURGEON FISH,Unicorn surgeon fish,Metazoa,Chordata,Actinopteri,Acanthuriformes,Acanthuridae,Acanthurus,Acanthurus monroviae,NA,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=927808$retmode=xml,NA,NA,NA,,
SURGEON FISH(TANG),Surgeon fish,Metazoa,Chordata,Actinopteri,Acanthuriformes,Acanthuridae,Acanthurus,Acanthurus monroviae,NA,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=927808$retmode=xml,NA,NA,NA,,
BRISTLE TOOTH SURGEONFISH,Bristle tooth surgeonfish,Metazoa,Chordata,Actinopteri,Acanthuriformes,Acanthuridae,Acanthurus,Acanthurus monroviae,NA,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=927808$retmode=xml,NA,NA,NA,,
UNICORN SURGEONFISH,Unicorn surgeonfish,Metazoa,Chordata,Actinopteri,Acanthuriformes,Acanthuridae,Acanthurus,Acanthurus monroviae,NA,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=927808$retmode=xml,NA,NA,NA,,
RED SEA CLOWN SURGEONFISH,Red sea clown surgeonfish,Metazoa,Chordata,Actinopteri,Acanthuriformes,Acanthuridae,Acanthurus,Acanthurus monroviae,NA,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=927808$retmode=xml,NA,NA,NA,,
ORANGE SHOULDER TANG,Orange shoulder tang,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus olivaceus,http://eol.org/api/hierarchy_entries/1.0.xml?id=52605202,NA,NA,NA,NA,,
ORANGE SHOULDERED TANG,Orange shouldered tang,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus olivaceus,,,https://en.wikipedia.org/wiki/Acanthurus_olivaceus,NA,NA,,
OCEAN SURGEONFISH,Ocean surgeonfish,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus reversus,http://eol.org/api/hierarchy_entries/1.0.xml?id=52605176,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=927808$retmode=xml,https://en.wikipedia.org/wiki/Ocean_surgeonfish,NA,NA,,
FOWLER TANG,Fowler tang,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus thompsoni,,,NA,http://www.iucnredlist.org/details/178008/0,NA,,
CONVICT TANG,Convict tang,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus triostegus,http://eol.org/api/hierarchy_entries/1.0.xml?id=52605180,NA,https://en.wikipedia.org/wiki/Convict_tang,NA,NA,,
COOPER'S HAWK,Cooper's hawk,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter cooperii,NA,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=261198$retmode=xml,https://en.wikipedia.org/wiki/Cooper%27s_hawk,NA,NA,,
FINNISH & SIBERIAN GOSHAWK,Finnish and siberian goshawk,Metazoa,Chordata,Aves,Falconiformes,Accipitridae,Accipiter,Accipiter gentilis,NA,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=8957$retmode=xml,NA,NA,NA,,
FINNISH GOSHAWK,Finnish goshawk,Metazoa,Chordata,Aves,Falconiformes,Accipitridae,Accipiter,Accipiter gentilis,NA,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=8957$retmode=xml,NA,NA,NA,,
SHARP-SHINNED HAWK,Sharp-shinned hawk,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter striatus,http://eol.org/api/hierarchy_entries/1.0.xml?id=52648477,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=56330$retmode=xml,https://en.wikipedia.org/wiki/Sharp-shinned_hawk,NA,NA,,
SHARP SHINNED HAWKQ,Sharp shinned hawkq,Metazoa,Chordata,Aves,Falconiformes,Accipitridae,Accipiter,Accipiter striatus,NA,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=56330$retmode=xml,NA,NA,NA,,
SHARP SHINNED HAWK,Sharp shinned hawk,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter striatus,http://eol.org/api/hierarchy_entries/1.0.xml?id=52648477,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=56330$retmode=xml,https://en.wikipedia.org/wiki/Sharp_shinned_hawk,NA,NA,,
GOSHAWK,Goshawk,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter trivirgatus,http://eol.org/api/hierarchy_entries/1.0.xml?id=52648574,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=8957$retmode=xml,NA,NA,NA,,
Goshawk,Goshawk,Metazoa,Chordata,Aves,Falconiformes,Accipitridae,Accipiter,Accipiter gentilis,http://eol.org/api/hierarchy_entries/1.0.xml?id=52648574,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=8957$retmode=xml,NA,NA,NA,,
FLYING FOX,Flying fox,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Acerodon,Acerodon jubatus,http://eol.org/api/hierarchy_entries/1.0.xml?id=52575766,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=699555$retmode=xml,NA,NA,NA,,
WILD BAT,Wild bat,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Acerodon,Acerodon jubatus,,,https://en.wikipedia.org/wiki/Giant_golden-crowned_flying_fox,NA,NA,,
GIANT FRUIT BAT,Giant fruit bat,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Acerodon,Acerodon lucifer,http://eol.org/api/hierarchy_entries/1.0.xml?id=52575768,NA,NA,NA,NA,,
CELEBES HORNBILL,Celebes hornbill,Animalia,Chordata,Aves,Bucerotiformes,Bucerotidae,Aceros,Aceros cassidix,http://eol.org/api/hierarchy_entries/1.0.xml?id=52646702,NA,NA,NA,NA,,
WRINKLED HORNBILL ,Wrinkled hornbill,Animalia,Chordata,Aves,Bucerotiformes,Bucerotidae,Aceros,Aceros leucocephalus,http://eol.org/api/hierarchy_entries/1.0.xml?id=52646701,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=175825$retmode=xml,https://en.wikipedia.org/wiki/Wrinkled_hornbill,NA,NA,,
WRINKLED HORNBILL,Wrinkled hornbill,Animalia,Chordata,Aves,Bucerotiformes,Bucerotidae,Aceros,Aceros leucocephalus,http://eol.org/api/hierarchy_entries/1.0.xml?id=52646701,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=175825$retmode=xml,https://en.wikipedia.org/wiki/Wrinkled_hornbill,NA,NA,,
WRINKLED HORNBILL`,Wrinkled hornbill`,Animalia,Chordata,Aves,Bucerotiformes,Bucerotidae,Aceros,Aceros leucocephalus,http://eol.org/api/hierarchy_entries/1.0.xml?id=52646701,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=175825$retmode=xml,NA,NA,NA,,
COYOTE,Coyote,Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Achalarus,Achalarus toxeus,http://eol.org/api/hierarchy_entries/1.0.xml?id=52440711,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=9614$retmode=xml,https://en.wikipedia.org/wiki/Coyote,NA,NA,,
FEEDER CRICKET,Feeder cricket,Animalia,Na,Insecta,Orthoptera,Gryllidae,Acheta,Acheta domesticus,,,https://en.wikipedia.org/wiki/House_cricket,NA,NA,,
SOUTHERN AFRICAN CHEETAH,Southern african cheetah,Metazoa,Chordata,Mammalia,Carnivora,Felidae,Acinonyx,Acinonyx jubatus,NA,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=32536$retmode=xml,NA,NA,NA,,
CHEETAH ,Cheetah,Animalia,Chordata,Mammalia,Carnivora,Felidae,Acinonyx,Acinonyx jubatus,http://eol.org/api/hierarchy_entries/1.0.xml?id=52577783,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=32536$retmode=xml,https://en.wikipedia.org/wiki/Cheetah,NA,NA,,
CHEETAH,Cheetah,Animalia,Chordata,Mammalia,Carnivora,Felidae,Acinonyx,Acinonyx jubatus,http://eol.org/api/hierarchy_entries/1.0.xml?id=52577783,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=32536$retmode=xml,https://en.wikipedia.org/wiki/Cheetah,NA,NA,,
Cheetah,Cheetah,Animalia,Chordata,Mammalia,Carnivora,Felidae,Acinonyx,Acinonyx jubatus,http://eol.org/api/hierarchy_entries/1.0.xml?id=52577783,NA,https://en.wikipedia.org/wiki/Cheetah,NA,NA,,
Cheetah,Cheetah,Animalia,Chordata,Mammalia,Carnivora,Felidae,Acinonyx,Acinonyx jubatus,http://eol.org/api/hierarchy_entries/1.0.xml?id=52577783,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=32536$retmode=xml,https://en.wikipedia.org/wiki/Cheetah,NA,NA,,
LAKE STURGEON,Lake sturgeon,Animalia,Chordata,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,Acipenser fulvescens,http://eol.org/api/hierarchy_entries/1.0.xml?id=52629227,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=41871$retmode=xml,https://en.wikipedia.org/wiki/Lake_sturgeon,NA,NA,,
SHORT NOSE STURGEON,Short nose sturgeon,Animalia,Chordata,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,Acipenser medirostris,http://eol.org/api/hierarchy_entries/1.0.xml?id=52629228,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=7908$retmode=xml,NA,NA,NA,,
RED TAIL STURGEON,Red tail sturgeon,Metazoa,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,Acipenser sturio,NA,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=61674$retmode=xml,NA,NA,NA,,
TOMINI SURGEON,Tomini surgeon,Metazoa,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,Acipenser sturio,NA,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=61674$retmode=xml,NA,NA,NA,,
OCEAN STURGEON,Ocean sturgeon,Metazoa,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,Acipenser sturio,NA,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=61674$retmode=xml,NA,NA,NA,,
ATLANTIC STURGEON,Atlantic sturgeon,Animalia,Chordata,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,Acipenser sturio,http://eol.org/api/hierarchy_entries/1.0.xml?id=52629232,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=36177$retmode=xml,NA,NA,NA,,
WHITE FRECKLED SURGEON,White freckled surgeon,Metazoa,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,Acipenser sturio,NA,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=61674$retmode=xml,NA,NA,NA,,
