Potter Park Zoological Gardens, Mich.
Prospect Park Zoo, N.Y.
Pueblo Zoo, Colo.
Queens Zoo, N.Y. 
Racine Zoo, Wis. 
Red River Zoo, N.D.
Reid Park Zoo, Ariz.
Ripley's Aquarium at Myrtle Beach, S.C.
Ripley's Aquarium of Canada, Canada
Ripley's Aquarium of the Smokies, Tenn.
Riverbanks Zoo and Garden, S.C.
Riverside Discovery Center, Neb.
Roger Williams Park Zoo, R.I.
Rolling Hills Zoo, Kan.
Roosevelt Park Zoo, N.D.
Rosamond Gifford Zoo at Burnet Park, N.Y.
Sacramento Zoo, Calif. 
Safari West, Calif.
Saginaw Children's Zoo, Mich.
Saint Louis Zoo, Mo.
San Antonio Zoological Society, Texas
San Diego Zoo, Calif.
San Diego Zoo Safari Park, Calif.
San Francisco Zoological Gardens, Calif.
Santa Barbara Zoological Gardens, Calif.
Santa Fe College Teaching Zoo, Fla.
Scovill Zoo, Ill.
S.E.A. Aquarium, Singapore
SEA LIFE Arizona Aquarium, Ariz.
SEA LIFE Carlsbad Aquarium, Calif.
SEA LIFE Charlotte-Concord Aquarium, N.C.
SEA LIFE Grapevine Aquarium, Texas
SEA LIFE Kansas City Aquarium, Mo
SEA LIFE Michigan Aquarium, Mich. 
SEA LIFE Orlando Aquarium, Fla.
 The  Seas, Fla.
Seattle Aquarium, Wash.
SeaWorld Orlando, Fla.
SeaWorld San Antonio, Texas
SeaWorld San Diego, Calif.
Sedgwick County Zoo, Kan.
Seneca Park Zoo, N.Y.
Seoul Zoo, South Korea
Sequoia Park Zoo, Calif.
Shark Reef Aquarium at Mandalay Bay, Nev.
Smithsonian National Zoological Park, D.C.
South Carolina Aquarium, S.C.
Squam Lakes Natural Science Center, N.H.
St. Augustine Alligator Farm, Fla.
Staten Island Zoo, N.Y.
Steinhart Aquarium, Calif.
Sunset Zoological Park, Kan.
Tennessee Aquarium, Tenn.
Texas State Aquarium, Texas
Toledo Zoological Gardens, Ohio
Topeka Zoo and Conservation Center, Kan.
Toronto Zoo, Canada
Tracy Aviary, Utah
Trevor Zoo, N.Y.
Tulsa Zoo, Okla.
Turtle Back Zoo, N.J.
Utah's Hogle Zoo, Utah 
Utica Zoo, N.Y.
Vancouver Aquarium Marine Science Centre, Canada 
Virginia Aquarium and Marine Science Center, Va.
Virginia Living Museum, Va.
Virginia Zoological Park, Va.
Walter D. Stone Memorial Zoo, Mass.
Western North Carolina Nature Center, N.C. 
Wildlife Safari, Ore.
 The  Wilds, Ohio
Woodland Park Zoo, Wash.
Zoo Atlanta, Ga.
Zoo Boise, Idaho
Zoo de Granby, Canada
Zoo Knoxville, Tenn.
Zoo Miami, Fla.
ZOOAMERICA NA Wildlife Park, Pa.
Zoológico de Cali, Colombia
ZooMontana, Mont.
ZooTampa at Lowry Park, Fla.
